claim_status,video_duration_sec,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,text_length,clean_text
claim,49,not verified,active,265598.0,59672.0,4952.0,815.0,400.0,96,friend shared friend half retail purchase made mobile device
claim,13,not verified,active,307222.0,13123.0,4689.0,130.0,63.0,115,friend shared friend watched summer olympics event past 20 year gymnastics
claim,34,not verified,active,962886.0,174445.0,10848.0,619.0,162.0,91,friend shared friend badminton fastest ball net sport world
claim,32,not verified,banned,29060.0,1219.0,171.0,3.0,1.0,169,friend shared friend starting 1990 american basketball player michael jordan chicago bull never three game losing streak eight year
claim,56,not verified,active,952372.0,10191.0,114.0,223.0,55.0,94,friend shared friend dog sense smell much powerful human
claim,37,not verified,active,986657.0,311333.875,45382.5,2880.125,728.5,78,friend shared friend common garden snail 12 000 teeth
claim,44,not verified,active,561388.0,152488.0,26474.0,2668.0,291.0,70,friend shared friend koala sleep 22 hour per day
claim,30,not verified,under review,773587.0,279571.0,16917.0,2880.125,728.5,67,friend shared friend shark glow dark
claim,26,not verified,under review,71676.0,45324.0,6977.0,503.0,258.0,122,friend shared friend would take 258 earth day drive around one saturn ring speed 75 mph
claim,55,not verified,banned,663764.0,113266.0,31512.0,2325.0,564.0,86,friend shared friend sputnik first artificial satellite space
claim,31,not verified,under review,170467.0,86546.0,19813.0,721.0,447.0,87,friend shared friend neptune radiates heat get sun
claim,5,not verified,under review,988418.0,311333.875,45382.5,239.0,22.0,85,friend shared friend day mar length earth
claim,27,not verified,active,345192.0,63925.0,7783.0,99.0,57.0,96,friend shared friend planet made diamond two time size earth
claim,43,not verified,active,755590.0,128952.0,25210.0,1750.0,498.0,91,friend shared friend world championship throwing mobile phone
claim,48,not verified,under review,611144.0,46826.0,12186.0,503.0,44.0,97,friend shared friend avocado never ripen still attached tree
claim,34,not verified,active,929654.0,311333.875,45382.5,588.0,176.0,125,friend shared friend people born 2 natural fear fear falling fear loud sound
claim,7,not verified,active,208229.0,115949.0,2253.0,2058.0,149.0,73,friend shared friend human taste food without saliva
claim,17,not verified,banned,248398.0,139777.0,17309.0,1639.0,209.0,75,friend shared friend eiffel tower lean away sun
claim,31,verified,active,677288.0,214708.0,45382.5,2167.0,728.5,80,friend shared friend one fourth sahara desert sandy
claim,8,not verified,under review,726718.0,241278.0,28762.0,1233.0,87.0,97,friend shared friend french scrabble world champion winner speak french
claim,13,not verified,under review,857998.0,311333.875,45382.5,2880.125,728.5,126,friend shared friend one armed player scored winning goal first soccer tournament world cup 1930
claim,48,not verified,active,589041.0,144226.0,45382.5,2880.125,728.5,112,friend shared friend physically impossible human keep eye open sneezing
claim,31,not verified,active,604898.0,288298.0,45382.5,2880.125,728.5,71,friend shared friend pineapple named pinecone
claim,20,not verified,under review,737901.0,205717.0,4645.0,666.0,12.0,70,friend shared friend losing weight alters brain activity
claim,56,not verified,under review,680252.0,177711.0,1946.0,2880.125,9.0,85,friend shared friend fingernail dominant hand grow faster
claim,31,not verified,under review,250243.0,45005.0,9872.0,705.0,240.0,80,friend shared friend playing dance music help ward mosquito
claim,28,not verified,active,5279.0,2670.0,16.0,12.0,7.0,84,friend shared friend mouse typically live 6 month wild
claim,37,not verified,active,364943.0,212815.0,6149.0,906.0,4.0,90,friend shared friend dwarf planet pluto named 11 year old girl
claim,51,not verified,banned,865320.0,139937.0,45382.5,2574.0,728.5,119,friend shared friend insect population world 1 billion time world population
claim,51,not verified,active,874793.0,306997.0,29763.0,2880.125,728.5,80,friend shared friend human brain us 20 body oxygen
claim,24,not verified,active,468077.0,194366.0,37758.0,2880.125,131.0,87,friend shared friend fit 400 grapevine one acre land
claim,57,not verified,active,539826.0,132637.0,16501.0,444.0,60.0,90,friend shared friend pineapple plant produce one pineapple year
claim,55,not verified,active,309589.0,170284.0,45382.5,2735.0,728.5,103,friend shared friend strawberry known fruit grow seed externally
claim,39,not verified,active,572084.0,93187.0,4911.0,1475.0,9.0,100,friend mentioned someone discovered nucelear fission used produce electricity
claim,26,not verified,active,879769.0,107260.0,27447.0,2288.0,728.5,152,friend mentioned someone discovered american industrialist andrew carnegie net worth 475 million usd worth 300 billion usd today
claim,37,not verified,banned,436875.0,260329.0,41775.0,2880.125,728.5,99,friend mentioned someone discovered rubik cube best selling product time
claim,43,not verified,active,501354.0,248235.0,45382.5,2880.125,728.5,83,friend mentioned someone discovered mobile phone use india nearly 100
claim,50,not verified,banned,168449.0,90690.0,16615.0,1962.0,383.0,149,friend mentioned someone discovered total number multinational company investing green initiative increased 35 since 2020
claim,32,not verified,banned,200060.0,106959.0,32426.0,2564.0,728.5,102,friend mentioned someone discovered oldest playable musical instrument found china
claim,16,not verified,under review,423164.0,186423.0,45382.5,2404.0,728.5,116,friend mentioned someone discovered japanese word karaoke come phrase meaning empty orchestra
claim,57,not verified,under review,182650.0,88712.0,28801.0,434.0,95.0,118,friend mentioned someone discovered half world population access web via mobile device
claim,49,not verified,active,195432.0,27339.0,3483.0,433.0,200.0,98,friend mentioned someone discovered average user spends 40 day internet
claim,9,not verified,active,90931.0,51974.0,3568.0,970.0,156.0,111,friend mentioned someone discovered average user check mobile phone around 150 time day
claim,43,not verified,banned,920337.0,311333.875,45382.5,2880.125,728.5,159,friend mentioned someone discovered 4 top 10 highest paid atheletes world player american national basketball assocation nba
claim,33,not verified,active,995247.0,311333.875,45382.5,2880.125,728.5,107,friend mentioned someone discovered first glove used american sport baseball fingerless
claim,23,not verified,banned,956314.0,311333.875,45382.5,2880.125,298.0,90,friend mentioned someone discovered concorde fastest passenger jet ever
claim,53,not verified,active,328659.0,165642.0,45382.5,337.0,135.0,99,friend mentioned someone discovered busiest airport world united state
claim,49,verified,under review,631075.0,284311.0,45382.5,1163.0,354.0,95,friend mentioned someone discovered london england world oldest subway system
claim,60,not verified,under review,228358.0,19295.0,2332.0,270.0,35.0,97,friend mentioned someone discovered dragonfly see direction time
claim,51,not verified,active,276059.0,97689.0,38967.0,2376.0,507.0,78,friend mentioned someone discovered koala sleep 22 hour per day
claim,53,not verified,banned,351066.0,58438.0,19119.0,39.0,0.0,117,friend mentioned someone discovered volcano olympus mon mar 3 time taller mount everest
claim,41,not verified,under review,530697.0,30862.0,8161.0,278.0,166.0,74,friend mentioned someone discovered saturn less dense water
claim,49,not verified,active,2883.0,1242.0,348.0,11.0,2.0,74,friend mentioned someone discovered sound actually travel space
claim,56,not verified,active,426268.0,155933.0,45382.5,2880.125,728.5,85,friend mentioned someone discovered single day venus take 243 earth day
claim,11,not verified,under review,660561.0,311333.875,45382.5,2880.125,728.5,113,friend mentioned someone discovered evidence seymour island suggest penguin 6 ft tall
claim,40,not verified,active,150706.0,72838.0,9413.0,454.0,1.0,92,friend mentioned someone discovered scottish first people fry chicken
claim,47,not verified,active,965051.0,311333.875,45382.5,2880.125,728.5,115,friend mentioned someone discovered sneezing traveling 60 mph make close eye 50 foot
claim,24,not verified,under review,311719.0,71173.0,6362.0,496.0,163.0,117,friend mentioned someone discovered j letter appear periodic table element
claim,50,not verified,active,56142.0,27239.0,1540.0,390.0,172.0,99,friend mentioned someone discovered tallest tower cupcake ever made 35 foot
claim,48,verified,active,915553.0,272536.0,45382.5,7.0,3.0,81,friend mentioned someone discovered bee fly higher mount everest
claim,20,not verified,active,593281.0,311333.875,45382.5,2880.125,728.5,87,friend mentioned someone discovered cold water cleansing hot water
claim,59,not verified,banned,169697.0,12958.0,589.0,314.0,120.0,141,friend mentioned someone discovered people speak english second language use primary language
claim,53,not verified,active,812513.0,311333.875,20023.0,2880.125,728.5,89,friend mentioned someone discovered triskaidekaphobia fear number 13
claim,34,not verified,active,743385.0,311333.875,45382.5,1427.0,107.0,93,friend mentioned someone discovered fingernail dominant hand grow faster
claim,58,not verified,active,726835.0,293637.0,31598.0,2880.125,728.5,70,friend mentioned someone discovered apple seed contain cyanide
claim,43,not verified,active,950500.0,146636.0,25913.0,1956.0,728.5,79,friend mentioned someone discovered frigate bird sleep flying
claim,38,not verified,banned,25771.0,4775.0,1771.0,77.0,26.0,74,friend reported someone discovered human live mar 2035
claim,35,not verified,banned,660194.0,311333.875,30579.0,2880.125,728.5,90,friend reported someone discovered fly individual jetpacks 2032
claim,50,not verified,active,848448.0,207258.0,45382.5,2880.125,275.0,106,friend reported someone discovered earth day getting longer time due orbital expansion
claim,18,not verified,banned,56312.0,36854.0,6211.0,512.0,254.0,120,friend reported someone discovered seventy percent small business owned operated single person
claim,10,not verified,under review,263806.0,8528.0,2373.0,27.0,10.0,97,friend reported someone discovered business owned woman men 2045
claim,19,not verified,active,951464.0,311333.875,45382.5,752.0,387.0,141,friend reported someone discovered gross domestic product gdp best financial indicator country overall trade potential
claim,40,not verified,active,907591.0,291689.0,45382.5,1736.0,728.5,94,friend reported someone discovered 1 billion car currently use around world
claim,40,not verified,active,285004.0,33069.0,11653.0,572.0,71.0,108,friend reported someone discovered would take less month get moon car 60mph
claim,40,not verified,active,611518.0,43431.0,8890.0,196.0,45.0,84,friend reported someone discovered car radio first introduced 1922
claim,18,not verified,banned,227262.0,34194.0,565.0,456.0,74.0,94,friend reported someone discovered harmonica best selling musical instrument
claim,59,not verified,active,216296.0,92543.0,22041.0,270.0,70.0,90,friend reported someone discovered 90 world data generated 2019
claim,34,not verified,active,714428.0,311333.875,45382.5,2880.125,728.5,103,friend reported someone discovered 60 world population access internet
claim,22,not verified,active,915340.0,311333.875,45382.5,2880.125,728.5,103,friend reported someone discovered singapore fastest internet connectivity world
claim,29,not verified,active,830574.0,311333.875,45382.5,2880.125,728.5,103,friend reported someone discovered half retail purchase made mobile device
claim,48,not verified,active,42647.0,17703.0,5027.0,375.0,155.0,101,friend reported someone discovered world generates 2 5 quintillion byte data every day
claim,60,not verified,active,697308.0,190336.0,45382.5,2880.125,728.5,84,friend reported someone discovered 1 3 people never used internet
claim,16,verified,active,775229.0,42657.0,1636.0,835.0,247.0,95,friend reported someone discovered shanghai china world longest subway system
claim,26,not verified,active,242727.0,4464.0,620.0,62.0,26.0,101,friend reported someone discovered dog sense smell much powerful human
claim,12,not verified,active,64994.0,37401.0,4768.0,246.0,100.0,96,friend reported someone discovered dragonfly see direction time
claim,15,not verified,active,338032.0,174028.0,45382.5,2880.125,728.5,77,friend reported someone discovered koala sleep 22 hour per day
claim,26,not verified,active,405315.0,241311.0,12754.0,2880.125,728.5,80,friend reported someone discovered snow metal rain acid venus
claim,28,not verified,active,443793.0,62808.0,18380.0,671.0,251.0,100,friend reported someone discovered sun take one earth month make full rotation
claim,23,not verified,active,754822.0,311333.875,28597.0,2880.125,728.5,109,friend reported someone discovered take average 364 lick get center lollipop
claim,20,not verified,active,612397.0,69987.0,27953.0,910.0,606.0,98,friend reported someone discovered world championship throwing mobile phone
claim,50,not verified,active,998792.0,151348.0,45382.5,2843.0,728.5,104,friend reported someone discovered take restaurant found remains pompeii
claim,51,not verified,banned,765069.0,301210.0,45382.5,278.0,156.0,86,friend reported someone discovered captive raven speak better parrot
claim,54,not verified,active,112830.0,38543.0,526.0,107.0,3.0,91,friend reported someone discovered scottish first people fry chicken
claim,23,not verified,active,762699.0,311333.875,26264.0,2880.125,458.0,103,friend reported someone discovered elephant console stressful situation
claim,24,not verified,active,645348.0,25962.0,6713.0,211.0,44.0,104,friend reported someone discovered avocado never ripen still attached tree
claim,16,not verified,active,379005.0,204577.0,45382.5,2862.0,728.5,85,friend reported someone discovered brain fattiest organ body
claim,15,not verified,active,894337.0,129925.0,3678.0,1010.0,304.0,80,friend reported someone discovered human taste food without saliva
claim,58,not verified,active,712536.0,216805.0,45382.5,2880.125,728.5,110,friend reported someone discovered netherlands home population tallest human earth
claim,9,not verified,under review,148492.0,70227.0,14962.0,1264.0,728.5,108,friend reported someone discovered new zealander pet per household country
claim,33,not verified,active,433310.0,102440.0,34276.0,1753.0,728.5,106,friend reported someone discovered q letter appear u state name
claim,50,not verified,active,649471.0,311333.875,42349.0,1072.0,46.0,99,friend reported someone discovered blue whale eat 500 000 calorie 1 mouthful average
claim,5,not verified,under review,40208.0,8018.0,1029.0,16.0,0.0,96,friend reported someone discovered human jumped horse olympics
claim,38,not verified,active,346555.0,70156.0,12343.0,605.0,94.0,96,friend reported someone discovered first commercial airplane flight lasted 23 minute
claim,20,not verified,active,812447.0,311333.875,45382.5,2880.125,528.0,95,friend reported someone discovered 170 year old champagne found baltic sea
claim,6,not verified,under review,391812.0,30875.0,1706.0,165.0,76.0,95,friend reported someone discovered x ray distinguish real diamond fake one
claim,28,not verified,banned,468758.0,78841.0,12464.0,1271.0,681.0,117,friend reported someone discovered continental tectonic plate move rate fingernail grow
claim,35,not verified,active,642888.0,21908.0,7009.0,412.0,122.0,88,friend reported someone discovered driving south detroit lead canada
claim,35,not verified,banned,633270.0,6077.0,1018.0,101.0,60.0,140,friend reported someone discovered people speak english second language use primary language
claim,17,not verified,banned,734203.0,296340.0,45382.5,2880.125,728.5,88,friend reported someone discovered triskaidekaphobia fear number 13
claim,44,not verified,active,939399.0,144236.0,31119.0,906.0,104.0,88,friend reported someone discovered opposite side dice always equal 7
claim,8,not verified,active,494881.0,32805.0,8934.0,534.0,198.0,99,friend reported someone discovered banana get curved shape growing towards sun
claim,27,verified,active,886215.0,311333.875,45382.5,2880.125,728.5,78,friend reported someone discovered frigate bird sleep flying
claim,47,verified,banned,648343.0,233325.0,45382.5,2880.125,728.5,90,friend reported someone discovered chicken closest relative rex
claim,12,not verified,banned,56430.0,34026.0,4691.0,0.0,0.0,77,friend reported someone discovered violin bow made horsehair
claim,42,not verified,active,558866.0,187629.0,15527.0,2880.125,728.5,85,friend reported someone discovered largest living thing earth tree
claim,36,not verified,active,91199.0,28946.0,3171.0,115.0,59.0,80,friend reported someone discovered moon moving away earth
claim,25,not verified,active,788517.0,307605.0,9543.0,2880.125,728.5,97,friend reported someone discovered pineapple plant produce one pineapple year
claim,45,not verified,active,115622.0,56824.0,13342.0,817.0,373.0,84,friend reported someone discovered china world largest silk producer
claim,36,not verified,active,36741.0,4541.0,49.0,38.0,23.0,72,friend reported someone discovered redwood tallest tree
claim,23,not verified,active,417233.0,217824.0,34725.0,357.0,66.0,73,friend told someone discovered human live mar 2035
claim,16,not verified,active,509376.0,153342.0,34764.0,2281.0,728.5,110,friend told someone discovered drone delivery already happening become common 2025
claim,52,verified,active,993601.0,311333.875,45382.5,2648.0,728.5,105,friend told someone discovered earth day getting longer time due orbital expansion
claim,29,not verified,active,511307.0,271981.0,20832.0,2880.125,728.5,100,friend told someone discovered 20 world oxygen produced amazon jungle
claim,32,not verified,under review,518655.0,105148.0,40590.0,1367.0,502.0,95,friend told someone discovered 582 million entrepreneur world
claim,59,not verified,banned,268145.0,112600.0,14468.0,2719.0,106.0,115,friend told someone discovered highest total mileage clocked single car 2850000 million mile
claim,45,not verified,under review,862840.0,311333.875,45382.5,1459.0,728.5,97,friend told someone discovered violin constructed 70 individual wooden piece
claim,24,not verified,active,244746.0,15130.0,2944.0,180.0,62.0,117,friend told someone discovered musical artist prince played 27 different instrument debut album
claim,37,not verified,active,210960.0,115814.0,36974.0,1855.0,467.0,115,friend told someone discovered would take 50 petabyte drive store every written work ever created
claim,12,not verified,under review,111863.0,516.0,33.0,11.0,4.0,89,friend told someone discovered kite flying professional sport thailand
claim,11,not verified,active,89566.0,45283.0,5417.0,137.0,21.0,175,friend told someone discovered starting 1990 american basketball player michael jordan chicago bull never three game losing streak eight year
claim,42,not verified,under review,444516.0,215982.0,12545.0,2880.125,728.5,97,friend told someone discovered busiest airport world united state
claim,49,not verified,banned,226281.0,97360.0,28001.0,110.0,72.0,76,friend told someone discovered koala sleep 22 hour per day
claim,29,not verified,active,330402.0,171557.0,45382.5,1871.0,355.0,104,friend told someone discovered footprint left moon disappear wind
claim,17,not verified,banned,704208.0,133661.0,17715.0,368.0,51.0,93,friend told someone discovered neptune radiates heat get sun
claim,24,not verified,active,519070.0,158598.0,45382.5,665.0,188.0,92,friend told someone discovered neptune wind fastest solar system
claim,50,not verified,banned,499826.0,309975.0,17914.0,2880.125,728.5,82,friend told someone discovered currently 6 spacecraft mar
claim,50,not verified,active,167944.0,87441.0,6040.0,353.0,137.0,63,friend told someone discovered mar running water
claim,60,not verified,active,511854.0,311333.875,39685.0,376.0,133.0,97,friend told someone discovered bent joint leg flamingo ankle
claim,60,not verified,banned,684341.0,127101.0,7517.0,1741.0,728.5,87,friend told someone discovered canned pumpkin contain actual pumpkin
claim,22,not verified,under review,825852.0,311333.875,3712.0,2880.125,728.5,94,friend told someone discovered dog understand 250 hand gesture word
claim,52,not verified,under review,683434.0,94655.0,37748.0,309.0,87.0,85,friend told someone discovered captive raven speak better parrot
claim,41,verified,under review,231712.0,12348.0,771.0,79.0,36.0,90,friend told someone discovered scottish first people fry chicken
claim,50,not verified,active,597742.0,178975.0,44473.0,1885.0,314.0,75,friend told someone discovered baked bean actually baked
claim,36,not verified,under review,273182.0,81099.0,21955.0,1075.0,611.0,84,friend told someone discovered brain fattiest organ body
claim,46,not verified,under review,482106.0,228292.0,45382.5,1252.0,465.0,71,friend told someone discovered two tongue print alike
claim,52,not verified,active,93598.0,52844.0,86.0,175.0,9.0,113,friend told someone discovered sneezing traveling 60 mph make close eye 50 foot
claim,39,not verified,active,870656.0,137823.0,45382.5,2880.125,728.5,75,friend told someone discovered people sneeze sleep
claim,5,not verified,active,441748.0,122633.0,13387.0,556.0,130.0,73,friend told someone discovered australia bright pink lake
claim,40,not verified,active,33738.0,614.0,3.0,6.0,3.0,115,friend told someone discovered j letter appear periodic table element
claim,42,not verified,active,934185.0,22021.0,8068.0,538.0,134.0,84,friend told someone discovered birth baby panda smaller mouse
claim,25,not verified,active,422912.0,248328.0,45382.5,2880.125,19.0,87,friend told someone discovered penguin jump high 9 foot air
claim,21,not verified,banned,515255.0,7604.0,2738.0,22.0,10.0,87,friend told someone discovered microwave oven accidental invention
claim,17,not verified,active,749576.0,311333.875,45382.5,2880.125,728.5,112,friend told someone discovered longest location name planet earth 85 letter english
claim,54,not verified,active,169966.0,87626.0,31020.0,536.0,58.0,86,friend told someone discovered one fourth sahara desert sandy
claim,58,not verified,active,629607.0,221678.0,18098.0,1467.0,389.0,99,friend told someone discovered billion egg produced commercially year
claim,23,not verified,banned,49714.0,19166.0,2673.0,341.0,7.0,77,friend told someone discovered pineapple named pinecone
claim,42,not verified,under review,807048.0,185813.0,45382.5,2880.125,728.5,94,friend told someone discovered leech historically used predict weather
claim,40,not verified,active,961772.0,311333.875,45382.5,2880.125,728.5,75,friend told someone discovered melting glacier make fizzy noise
claim,43,not verified,under review,148883.0,85580.0,34011.0,131.0,29.0,83,friend told someone discovered successful predator wild dog
claim,12,not verified,active,631388.0,311333.875,45382.5,2704.0,728.5,93,friend told someone discovered world largest pyramid found egypt
claim,48,not verified,active,939426.0,311333.875,45382.5,281.0,95.0,87,friend told someone discovered triskaidekaphobia fear number 13
claim,37,not verified,active,560115.0,259081.0,45382.5,2880.125,728.5,84,friend told someone discovered largest living thing earth tree
claim,27,not verified,under review,100810.0,46464.0,5054.0,326.0,47.0,107,friend told someone discovered ketchup leaf bottle measured speed 25 mile per year
claim,49,not verified,active,859572.0,128379.0,2142.0,2633.0,728.5,124,friend told someone discovered giant tortoise believed extinct found galapagos island
claim,6,not verified,active,86449.0,20873.0,2412.0,395.0,154.0,96,friend told someone discovered pineapple plant produce one pineapple year
claim,19,not verified,active,22675.0,15038.0,4688.0,212.0,0.0,70,friend claimed someone discovered snow sahara desert
claim,8,not verified,active,30448.0,988.0,206.0,25.0,16.0,107,friend claimed someone discovered would take less month get moon car 60mph
claim,23,not verified,banned,569559.0,184470.0,14061.0,1468.0,173.0,87,friend claimed someone discovered first electric vehicle created 1832
claim,47,not verified,banned,813598.0,48172.0,948.0,942.0,401.0,83,friend claimed someone discovered car radio first introduced 1922
claim,6,not verified,active,506876.0,212303.0,15689.0,1428.0,728.5,100,friend claimed someone discovered automotive industry employ 9 9 million american
claim,46,not verified,active,682406.0,108826.0,1338.0,2661.0,728.5,97,friend claimed someone discovered violin constructed 70 individual wooden piece
claim,27,not verified,banned,878248.0,311333.875,45382.5,2880.125,361.0,117,friend claimed someone discovered musical artist prince played 27 different instrument debut album
claim,45,not verified,under review,909325.0,311333.875,45382.5,2880.125,728.5,129,friend claimed someone discovered 99 individual denmark ireland united arab emirate internet access
claim,18,not verified,active,881753.0,295676.0,7539.0,1611.0,417.0,120,friend claimed someone discovered 1920 last time event tug war played summer olympics
claim,53,not verified,banned,179828.0,100089.0,9428.0,1529.0,518.0,89,friend claimed someone discovered kite flying professional sport thailand
claim,5,not verified,active,414954.0,43839.0,2052.0,753.0,32.0,102,friend claimed someone discovered longest commercial flight history took around 30 hour
claim,42,not verified,under review,380857.0,160730.0,35354.0,1844.0,457.0,97,friend claimed someone discovered busiest airport world united state
claim,23,not verified,active,661093.0,180093.0,32820.0,2880.125,728.5,61,friend claimed someone discovered dolphin mammal
claim,20,not verified,active,612645.0,311333.875,6082.0,2880.125,728.5,96,friend claimed someone discovered ant lift 20 time body weight
claim,31,not verified,active,38266.0,7567.0,3012.0,136.0,14.0,96,friend claimed someone discovered hummingbird bird fly backwards
